integration_name,repository,first_added_date,first_added_quarter,removed_later,removal_date,removal_quarter,was_renamed,rename_events,flicker_merges_applied,first_added_commit,removal_commit
mysql,core,2015-12-01,2015 Q4,False,,,True,1,0,22d8a3cb6,
foo,core,2015-12-01,2015 Q4,True,2016-02-12,2016 Q1,True,1,0,944655311,c535efd88
docker,core,2015-12-22,2015 Q4,True,2017-01-04,2017 Q1,False,0,0,3fecd698d,e179dc4b9
twemproxy,core,2016-09-09,2016 Q3,False,,,False,0,0,dd84d2179,
tokumx,core,2016-09-16,2016 Q3,False,,,False,0,0,68ed6d9c7,
directory,core,2016-11-16,2016 Q4,False,,,False,0,0,15ec816e1,
postgres,core,2016-11-21,2016 Q4,False,,,False,0,0,9ad1f5ae6,
mesos_master,core,2016-11-22,2016 Q4,False,,,False,0,0,f08a66693,
mesos_slave,core,2016-11-22,2016 Q4,False,,,False,0,0,f08a66693,
supervisord,core,2016-11-22,2016 Q4,False,,,False,0,0,1bbba42d3,
mongo,core,2016-12-02,2016 Q4,False,,,False,0,0,340bbb0c9,
fluentd,core,2016-12-09,2016 Q4,False,,,False,0,0,4ebbdeb89,
rabbitmq,core,2016-12-21,2016 Q4,False,,,False,0,0,fc665e32f,
redisdb,core,2016-12-22,2016 Q4,False,,,False,0,0,e2fd588db,
tomcat,core,2016-12-22,2016 Q4,False,,,False,0,0,15e73ad51,
cassandra,core,2016-12-22,2016 Q4,False,,,False,0,0,ccd1b54f4,
gearmand,core,2016-12-22,2016 Q4,False,,,False,0,0,63d38cf3a,
ssh_check,core,2016-12-23,2016 Q4,False,,,True,1,0,b2ad479ec,
postfix,core,2016-12-23,2016 Q4,False,,,False,0,0,4dcc2f982,
disk,core,2016-12-23,2016 Q4,False,,,False,0,0,9f40be347,
ceph,core,2016-12-23,2016 Q4,False,,,False,0,0,953e2d1c1,
haproxy,core,2016-12-26,2016 Q4,False,,,False,0,0,b0e9302cb,
go_expvar,core,2016-12-28,2016 Q4,False,,,False,0,0,2ad4355b4,
kong,core,2016-12-29,2016 Q4,False,,,False,0,0,560bfd25a,
nginx,core,2016-12-29,2016 Q4,False,,,False,0,0,0e2c80840,
zk,core,2017-01-03,2017 Q1,False,,,False,0,0,2e0275000,
process,core,2017-01-03,2017 Q1,False,,,False,0,0,9db050deb,
riak,core,2017-01-04,2017 Q1,False,,,False,0,0,5a40d0af6,
pgbouncer,core,2017-01-04,2017 Q1,False,,,False,0,0,8787721ca,
apache,core,2017-01-04,2017 Q1,False,,,False,0,0,1ef9010e3,
couch,core,2017-01-05,2017 Q1,False,,,False,0,0,514858ca0,
spark,core,2017-01-05,2017 Q1,False,,,False,0,0,3de95e300,
riakcs,core,2017-01-05,2017 Q1,False,,,False,0,0,afa4334b7,
elastic,core,2017-01-05,2017 Q1,False,,,False,0,0,f986957cf,
snmp,core,2017-01-06,2017 Q1,False,,,False,0,0,0312a77d1,
mcache,core,2017-01-09,2017 Q1,False,,,True,1,0,d7cd739c5,
varnish,core,2017-01-09,2017 Q1,False,,,False,0,0,4e115e096,
etcd,core,2017-01-09,2017 Q1,False,,,False,0,0,77688a384,
gunicorn,core,2017-01-09,2017 Q1,False,,,False,0,0,08805ee80,
lighttpd,core,2017-01-09,2017 Q1,False,,,False,0,0,7dfe50d08,
teamcity,core,2017-01-10,2017 Q1,False,,,False,0,0,55247d030,
couchbase,core,2017-01-10,2017 Q1,False,,,False,0,0,8a5ce281f,
yarn,core,2017-01-10,2017 Q1,False,,,False,0,0,482dea5fb,
system_swap,core,2017-01-10,2017 Q1,False,,,False,0,0,5572093a8,
system_core,core,2017-01-10,2017 Q1,False,,,False,0,0,bc8397827,
marathon,core,2017-01-10,2017 Q1,False,,,False,0,0,dd4c0f74c,
statsd,core,2017-01-10,2017 Q1,False,,,False,0,0,7affe7bc2,
mapreduce,core,2017-01-10,2017 Q1,False,,,False,0,0,2d1d93478,
dns_check,core,2017-01-10,2017 Q1,False,,,False,0,0,67b56b823,
btrfs,core,2017-01-10,2017 Q1,False,,,False,0,0,bc1d82a10,
hdfs_namenode,core,2017-01-10,2017 Q1,False,,,False,0,0,1e5f4cb4d,
nagios,core,2017-01-10,2017 Q1,False,,,False,0,0,151e0d623,
ntp,core,2017-01-10,2017 Q1,False,,,False,0,0,45a6bb728,
network,core,2017-01-10,2017 Q1,False,,,False,0,0,1054c33cc,
linux_proc_extras,core,2017-01-10,2017 Q1,False,,,False,0,0,59755e2ed,
hdfs_datanode,core,2017-01-10,2017 Q1,False,,,False,0,0,59c3794a8,
tcp_check,core,2017-01-10,2017 Q1,False,,,False,0,0,a65d5fffc,
solr,core,2017-01-11,2017 Q1,False,,,False,0,0,cb3a3763a,
http_check,core,2017-01-11,2017 Q1,False,,,False,0,0,9c6fbce5a,
powerdns_recursor,core,2017-01-11,2017 Q1,False,,,False,0,0,3f1028546,
consul,core,2017-01-12,2017 Q1,False,,,False,0,0,6e72777b6,
activemq,core,2017-01-12,2017 Q1,False,,,False,0,0,38f479386,
vsphere,core,2017-01-12,2017 Q1,False,,,False,0,0,0e2e6ec3a,
kyototycoon,core,2017-01-12,2017 Q1,False,,,False,0,0,878d446f8,
cacti,core,2017-01-13,2017 Q1,False,,,False,0,0,d87e0d419,
